type,severity,lat,lng
POLICE,CRITICAL,-4.096269,122.063906
FIRE,LOW,-41.480557,-46.363412
POLICE,MEDIUM,81.487494,-64.204539
FIRE,LOW,-34.748199,-74.690314
FIRE,MEDIUM,10.360514,136.519065
FIRE,CRITICAL,-72.497937,70.415429
POLICE,MEDIUM,-47.542665,-73.248550
FIRE,LOW,-77.586711,160.001732
POLICE,CRITICAL,43.419536,36.210394
FIRE,MEDIUM,69.537064,-56.275045
POLICE,MEDIUM,2.290646,20.958171
POLICE,MEDIUM,-49.822484,-74.109286
MEDICAL,MEDIUM,-28.084691,-176.159450
MEDICAL,CRITICAL,81.813324,-93.795754
POLICE,LOW,-17.017432,130.774146
MEDICAL,MEDIUM,31.510190,-136.523049
POLICE,MEDIUM,16.768639,136.421099
FIRE,CRITICAL,-52.251901,-62.585495
POLICE,HIGH,67.600535,-1.585583
POLICE,LOW,-3.674303,-118.593123
MEDICAL,HIGH,1.586721,-85.428124
MEDICAL,CRITICAL,28.129849,52.365890
POLICE,LOW,-83.867874,-52.766724
FIRE,CRITICAL,-37.219297,-41.069909
POLICE,CRITICAL,-88.556164,-57.183116
MEDICAL,MEDIUM,82.286761,-88.467447
FIRE,CRITICAL,-52.973635,135.923420
FIRE,CRITICAL,3.596533,90.262014
MEDICAL,LOW,-6.934682,126.021100
POLICE,CRITICAL,14.774117,-55.683180
POLICE,CRITICAL,23.351440,33.502846
MEDICAL,CRITICAL,73.920178,-19.010264
POLICE,MEDIUM,-46.952419,115.687395
POLICE,CRITICAL,27.336849,157.546927
POLICE,LOW,70.943945,126.243109
POLICE,HIGH,-61.240543,-163.665796
MEDICAL,MEDIUM,-58.505449,-141.591013
POLICE,HIGH,-11.481418,167.572148
FIRE,HIGH,66.137340,-160.217191
MEDICAL,LOW,-84.516402,177.449633
MEDICAL,MEDIUM,-25.278031,-59.143069
FIRE,MEDIUM,33.837685,55.463719
MEDICAL,CRITICAL,14.787491,55.423672
MEDICAL,MEDIUM,-78.751427,62.558590
MEDICAL,LOW,78.765115,-168.473652
POLICE,LOW,-61.594612,151.565102
MEDICAL,LOW,-28.623746,61.658949
FIRE,HIGH,74.673296,2.257781
FIRE,MEDIUM,-77.588731,-140.883864
FIRE,MEDIUM,-9.496440,155.123802
POLICE,LOW,-45.304063,79.968736
MEDICAL,LOW,-0.208539,-144.672180
MEDICAL,LOW,-72.558461,92.602969
FIRE,MEDIUM,29.502742,-61.337967
MEDICAL,MEDIUM,36.862520,-58.127265
MEDICAL,MEDIUM,-74.089777,-131.257838
FIRE,CRITICAL,-81.179326,-136.911026
FIRE,HIGH,60.409646,148.450292
MEDICAL,HIGH,74.410072,156.549782
MEDICAL,LOW,23.009669,44.277966
FIRE,CRITICAL,-49.940528,29.916049
POLICE,LOW,64.390014,4.919010
POLICE,CRITICAL,-16.164293,145.186801
FIRE,CRITICAL,-11.800609,107.578152
POLICE,LOW,-9.119014,62.292009
FIRE,MEDIUM,71.408062,17.637858
FIRE,CRITICAL,15.366674,-136.226650
POLICE,MEDIUM,-42.064869,-90.741208
POLICE,LOW,-34.449325,160.427440
POLICE,HIGH,-4.516180,-65.038284
FIRE,HIGH,13.848908,-1.576348
POLICE,MEDIUM,6.732514,133.958393
POLICE,LOW,20.805235,67.623937
FIRE,CRITICAL,30.547859,17.954419
POLICE,MEDIUM,52.699720,-147.894279
FIRE,MEDIUM,5.520160,-47.391769
MEDICAL,HIGH,-4.557099,174.996591
FIRE,HIGH,68.939565,-73.754040
POLICE,HIGH,24.129132,-91.052688
POLICE,CRITICAL,10.353865,-70.675318
POLICE,HIGH,-32.370237,147.669501
FIRE,MEDIUM,75.411135,6.817205
FIRE,MEDIUM,-49.686550,168.123501
MEDICAL,CRITICAL,-10.954187,-94.415537
POLICE,CRITICAL,32.640703,28.242024
FIRE,HIGH,-20.430463,163.000543
FIRE,MEDIUM,43.118057,114.009675
FIRE,LOW,12.922921,-152.653844
POLICE,HIGH,-21.593550,-62.806851
FIRE,LOW,63.723640,-67.463136
FIRE,MEDIUM,-6.234393,161.100136
MEDICAL,LOW,34.269155,-75.222651
MEDICAL,HIGH,-13.814989,121.679367
POLICE,CRITICAL,68.646718,70.188967
POLICE,LOW,47.815280,44.906265
MEDICAL,LOW,12.492931,-70.607693
MEDICAL,CRITICAL,40.465668,153.264979
POLICE,CRITICAL,-42.028588,34.317839
FIRE,MEDIUM,15.257729,129.267850
MEDICAL,LOW,-24.667934,-106.236492
FIRE,CRITICAL,79.003809,-139.105310
POLICE,MEDIUM,49.418122,-125.376249
POLICE,HIGH,45.814888,-121.333387
MEDICAL,MEDIUM,-63.540259,6.270680
FIRE,MEDIUM,14.356530,-30.931702
MEDICAL,LOW,20.601499,150.363578
MEDICAL,LOW,1.691443,-6.646462
MEDICAL,CRITICAL,-46.588747,-54.299336
FIRE,MEDIUM,84.548836,143.961812
FIRE,LOW,47.229933,-46.694512
MEDICAL,HIGH,18.870394,148.867474
MEDICAL,HIGH,-42.962110,-111.248198
POLICE,HIGH,-67.388831,15.226784
POLICE,MEDIUM,7.640996,6.904726
MEDICAL,HIGH,62.553197,-19.533544
FIRE,MEDIUM,15.959019,-22.515227
POLICE,HIGH,-80.121638,169.540100
POLICE,MEDIUM,57.851827,-4.789326
POLICE,LOW,19.709844,9.795463
POLICE,LOW,-66.449125,-1.227451
POLICE,LOW,83.347806,-54.237936
FIRE,HIGH,-12.628556,94.578002
FIRE,LOW,-6.788675,-165.451921
POLICE,HIGH,26.031162,-155.078301
FIRE,LOW,80.688634,31.718057
FIRE,MEDIUM,49.711558,-110.816800
FIRE,CRITICAL,32.049427,67.585843
FIRE,MEDIUM,8.890241,112.880978
FIRE,CRITICAL,7.567859,72.976094
POLICE,CRITICAL,77.359288,-66.935571
FIRE,LOW,40.684754,-12.682390
FIRE,MEDIUM,-37.318314,-0.135455
FIRE,CRITICAL,-26.769734,-103.383894
MEDICAL,HIGH,29.897519,-137.078789
MEDICAL,CRITICAL,2.849702,50.328796
POLICE,CRITICAL,24.177237,140.529944
POLICE,MEDIUM,-53.950217,-38.346433
FIRE,MEDIUM,19.458967,119.482507
POLICE,HIGH,21.148575,-147.794771
MEDICAL,MEDIUM,-16.135970,-96.511692
FIRE,CRITICAL,48.262571,99.018639
FIRE,MEDIUM,-61.100191,-16.591455
FIRE,CRITICAL,-69.535960,-128.584905
POLICE,CRITICAL,-41.334219,58.136646
FIRE,LOW,17.097495,-165.310151
MEDICAL,LOW,86.211120,-132.633147
POLICE,MEDIUM,-22.336416,114.303254
POLICE,MEDIUM,-23.524028,104.867828
MEDICAL,HIGH,-71.881376,84.996969
POLICE,HIGH,71.897102,111.514682
FIRE,CRITICAL,-86.488762,-2.487563
FIRE,CRITICAL,56.102368,154.372344
FIRE,CRITICAL,77.467169,-56.492754
POLICE,CRITICAL,23.150818,35.857455
MEDICAL,HIGH,-53.284482,-48.287857
POLICE,HIGH,-38.752706,3.431072
FIRE,CRITICAL,88.537118,19.304406
MEDICAL,MEDIUM,-42.391698,-1.906584
FIRE,CRITICAL,-56.636468,141.712599
POLICE,LOW,-20.657580,55.963593
POLICE,CRITICAL,-88.363910,-164.220608
POLICE,HIGH,8.445668,163.565748
POLICE,HIGH,48.641552,-70.492948
FIRE,CRITICAL,62.970841,53.067340
POLICE,HIGH,-38.959415,-112.068209
MEDICAL,LOW,25.348634,125.005489
MEDICAL,HIGH,-59.217937,-40.710232
POLICE,HIGH,-27.168523,143.151902
POLICE,HIGH,-19.694406,-71.709276
FIRE,HIGH,10.780387,-26.950228
MEDICAL,LOW,-72.172789,-165.818221
POLICE,HIGH,-85.250279,58.030978
FIRE,CRITICAL,64.658616,58.541305
POLICE,HIGH,-52.900206,-178.308237
MEDICAL,HIGH,-67.998996,169.228191
MEDICAL,LOW,-35.132361,-25.438432
FIRE,CRITICAL,57.556707,-0.154056
POLICE,LOW,-53.751778,46.023500
FIRE,LOW,-13.825285,-169.046829
FIRE,MEDIUM,-83.168117,163.917035
POLICE,CRITICAL,-69.064571,154.062473
FIRE,HIGH,52.027286,-26.176063
FIRE,HIGH,-54.554269,145.192306
POLICE,LOW,16.425475,-41.177183
MEDICAL,LOW,-19.092964,-126.795578
POLICE,CRITICAL,-85.680071,-112.704805
FIRE,LOW,16.529045,-45.308682
MEDICAL,LOW,-51.468283,46.591345
FIRE,LOW,71.073983,-96.451766
POLICE,LOW,-25.704217,-173.393271
FIRE,HIGH,-41.433181,-175.485673
POLICE,CRITICAL,-9.074513,94.050489
POLICE,HIGH,40.952467,-104.262027
FIRE,HIGH,-62.856568,-119.327711
MEDICAL,MEDIUM,46.345072,-8.522381
MEDICAL,LOW,-15.727179,32.810011
POLICE,MEDIUM,-19.862598,-178.878210
FIRE,CRITICAL,-33.628199,-131.864143
POLICE,CRITICAL,87.606716,-41.921398
MEDICAL,CRITICAL,-26.277342,100.033522
FIRE,CRITICAL,78.417290,42.060857
MEDICAL,LOW,-31.036813,-81.823842
MEDICAL,LOW,-33.799453,150.381888
MEDICAL,MEDIUM,-21.418783,71.739627
FIRE,HIGH,2.692574,100.581569
MEDICAL,CRITICAL,-25.843947,88.570950
POLICE,CRITICAL,-43.792324,-152.626742
FIRE,LOW,-21.107412,13.173415
POLICE,MEDIUM,-72.443322,-4.505893
FIRE,CRITICAL,-45.687260,-62.480997
MEDICAL,MEDIUM,77.933859,-11.072249
POLICE,LOW,78.942650,-77.202315
MEDICAL,CRITICAL,19.919290,156.989497
FIRE,HIGH,4.011796,134.975444
MEDICAL,LOW,25.847809,18.745795
MEDICAL,LOW,2.859476,-86.144105
POLICE,CRITICAL,-67.284052,82.351159
MEDICAL,CRITICAL,-75.968027,70.569575
FIRE,MEDIUM,-21.449391,140.011487
MEDICAL,CRITICAL,56.264982,103.199086
POLICE,CRITICAL,28.792265,-66.252071
POLICE,CRITICAL,-61.007897,-61.080258
FIRE,LOW,-73.939752,-13.449940
POLICE,CRITICAL,-20.462019,31.625773
MEDICAL,MEDIUM,47.289391,129.778009
FIRE,MEDIUM,9.743132,-177.193092
FIRE,CRITICAL,58.517198,13.683651
FIRE,CRITICAL,27.238560,-48.828478
POLICE,LOW,65.052542,-66.192713
POLICE,CRITICAL,-71.732622,63.407082
FIRE,MEDIUM,11.744643,-106.913926
MEDICAL,MEDIUM,49.553949,-7.898845
MEDICAL,CRITICAL,-88.262690,-111.091004
FIRE,MEDIUM,69.015622,30.247885
MEDICAL,LOW,-11.152253,157.199069
FIRE,LOW,-10.239525,110.963301
MEDICAL,CRITICAL,66.080442,-69.883427
POLICE,MEDIUM,-50.328022,2.046076
FIRE,MEDIUM,86.671230,-140.097060
MEDICAL,HIGH,-88.007752,-150.378114
MEDICAL,HIGH,-33.299136,71.753975
MEDICAL,CRITICAL,64.625062,-73.657506
POLICE,CRITICAL,15.761495,-18.395536
MEDICAL,LOW,-39.008578,-38.573954
FIRE,MEDIUM,57.545360,161.529106
FIRE,MEDIUM,-7.788400,112.612945
MEDICAL,HIGH,-58.007761,-138.422099
FIRE,HIGH,-75.852969,-85.922897
FIRE,MEDIUM,-75.590827,154.780434
FIRE,MEDIUM,24.726884,150.104010
FIRE,HIGH,-2.409390,-10.255083
MEDICAL,CRITICAL,-86.220910,15.606104
POLICE,CRITICAL,0.338738,-79.879954
MEDICAL,CRITICAL,-29.842059,62.245915
MEDICAL,CRITICAL,-32.617127,-11.040280
FIRE,CRITICAL,78.785447,67.689285
FIRE,CRITICAL,-23.569104,-147.060010
FIRE,CRITICAL,-87.998186,-32.252442
MEDICAL,MEDIUM,-53.180430,179.911672
MEDICAL,LOW,22.722953,-52.137351
FIRE,HIGH,29.815044,42.523152
FIRE,CRITICAL,-44.695389,-171.861376
MEDICAL,CRITICAL,-19.615488,57.710189
MEDICAL,HIGH,-4.586585,121.088014
POLICE,MEDIUM,0.018596,69.717374
POLICE,LOW,-79.999971,-121.351820
POLICE,LOW,-27.544459,-27.641247
POLICE,MEDIUM,31.641409,-106.112990
MEDICAL,HIGH,-41.987342,-83.875257
MEDICAL,HIGH,-82.805685,139.694942
MEDICAL,CRITICAL,-89.451981,-106.273567
MEDICAL,LOW,46.668549,138.001388
POLICE,LOW,-1.599440,58.655272
FIRE,LOW,1.928956,-126.285442
MEDICAL,HIGH,-20.201472,62.332267
POLICE,LOW,-19.029166,-57.778424
FIRE,CRITICAL,75.389764,-23.228125
POLICE,HIGH,-33.346908,-3.541635
POLICE,CRITICAL,-29.175620,78.334460
POLICE,CRITICAL,10.399785,-130.508022
POLICE,HIGH,-16.299004,-113.589559
MEDICAL,LOW,-0.713561,-149.505038
POLICE,LOW,-11.893354,112.255310
FIRE,LOW,45.886829,15.116710
FIRE,MEDIUM,-50.002141,53.431523
POLICE,HIGH,79.849258,-31.507262
FIRE,LOW,32.924394,-21.560299
POLICE,MEDIUM,-47.123098,-170.534470
FIRE,HIGH,68.731684,-151.536585
FIRE,MEDIUM,70.949158,-108.537587
FIRE,LOW,-10.702292,-26.271379
FIRE,HIGH,-9.349137,56.721256
POLICE,LOW,-32.339208,104.262677
POLICE,CRITICAL,-46.437996,161.307814
POLICE,CRITICAL,-75.332169,-148.898180
FIRE,LOW,-18.049250,155.961262
FIRE,MEDIUM,-79.549240,36.738534
FIRE,HIGH,-23.845456,-119.301345
POLICE,MEDIUM,16.310900,6.330550
MEDICAL,HIGH,11.437034,-74.759978
POLICE,HIGH,25.117284,154.943007
FIRE,HIGH,58.740578,20.900988
FIRE,MEDIUM,89.466622,-61.648231
POLICE,HIGH,28.245146,-145.579313
POLICE,LOW,59.081830,-0.936319
MEDICAL,LOW,-29.066920,77.860763
FIRE,MEDIUM,-72.853739,-8.966895
FIRE,HIGH,39.293132,104.786625
MEDICAL,HIGH,29.736665,104.854148
MEDICAL,CRITICAL,45.584777,13.441675
FIRE,CRITICAL,1.857034,-119.467582
POLICE,HIGH,38.051779,-176.553403
FIRE,CRITICAL,18.579002,-16.834199
MEDICAL,CRITICAL,33.571997,19.307692
MEDICAL,LOW,-51.917575,152.010864
MEDICAL,MEDIUM,35.185009,156.470391
FIRE,LOW,-52.679254,-169.057646
MEDICAL,CRITICAL,67.865099,-104.471867
MEDICAL,CRITICAL,36.014540,71.586265
POLICE,CRITICAL,29.768004,71.937954
FIRE,MEDIUM,1.051804,-170.651789
MEDICAL,MEDIUM,67.309461,-58.159977
MEDICAL,LOW,81.951578,146.786120
MEDICAL,LOW,-41.662797,-175.894399
POLICE,MEDIUM,46.866996,144.848069
FIRE,LOW,-19.636006,122.077270
MEDICAL,HIGH,89.082357,8.051395
POLICE,CRITICAL,-88.318743,-133.354386
FIRE,MEDIUM,-52.288903,-142.444972
POLICE,LOW,19.440488,-13.377820
MEDICAL,MEDIUM,-33.204474,69.955885
MEDICAL,HIGH,25.688659,-172.432569
POLICE,CRITICAL,72.410724,114.776147
POLICE,HIGH,-58.125112,76.588700
POLICE,CRITICAL,-85.605790,10.511909
FIRE,HIGH,11.975296,117.508852
MEDICAL,HIGH,61.182430,-16.675833
POLICE,MEDIUM,-51.023352,114.772549
POLICE,LOW,-45.219880,-14.057273
FIRE,LOW,-30.387771,127.879549
FIRE,HIGH,-89.792973,-40.545157
MEDICAL,HIGH,70.826273,66.981792
POLICE,MEDIUM,15.614605,-22.764780
POLICE,LOW,45.985825,9.669446
MEDICAL,HIGH,-39.734406,63.097053
POLICE,MEDIUM,39.432410,-60.730832
FIRE,CRITICAL,41.158313,112.330833
POLICE,CRITICAL,81.847184,-169.931573
FIRE,HIGH,77.336163,84.524502
POLICE,CRITICAL,-8.393354,-29.380086
FIRE,MEDIUM,71.640478,-150.885494
FIRE,MEDIUM,-2.967298,154.624338
MEDICAL,HIGH,-16.152766,-91.246664
FIRE,HIGH,61.491515,-101.721917
POLICE,LOW,88.644678,-80.219269
MEDICAL,CRITICAL,51.623706,-122.669954
MEDICAL,HIGH,-77.541123,-79.978735
FIRE,HIGH,64.379273,-152.916396
FIRE,CRITICAL,-4.358390,-163.668325
POLICE,HIGH,42.873623,-12.002388
MEDICAL,CRITICAL,38.757744,134.721661
FIRE,CRITICAL,-8.076578,-63.823546
POLICE,HIGH,35.944137,40.719221
POLICE,CRITICAL,41.368359,110.443003
MEDICAL,MEDIUM,6.693304,173.027926
MEDICAL,MEDIUM,-5.824811,-145.585602
FIRE,CRITICAL,61.079214,-36.711157
POLICE,HIGH,30.629501,-89.224488
FIRE,LOW,81.076588,-36.990866
POLICE,LOW,25.377112,66.243873
POLICE,HIGH,58.037992,-122.830828
POLICE,HIGH,34.001292,21.805136
MEDICAL,LOW,-59.656263,-101.156644
FIRE,LOW,73.038549,-119.982573
FIRE,LOW,-78.006823,79.943127
POLICE,CRITICAL,76.766513,-136.197545
POLICE,HIGH,-33.608102,138.730439
MEDICAL,LOW,29.134956,-170.788426
FIRE,HIGH,52.464817,117.733026
POLICE,MEDIUM,50.389292,120.796640
MEDICAL,CRITICAL,31.216687,-12.730321
POLICE,HIGH,-21.455704,-96.375962
MEDICAL,MEDIUM,-69.367535,-27.848251
FIRE,HIGH,63.748831,3.864573
FIRE,CRITICAL,62.653855,-81.257112
MEDICAL,MEDIUM,-10.461415,50.573990
FIRE,CRITICAL,76.360456,100.381249
POLICE,LOW,-30.048954,-150.930263
FIRE,HIGH,-23.087356,-42.197895
MEDICAL,MEDIUM,-76.617544,177.719005
POLICE,CRITICAL,-33.942459,-118.163649
POLICE,MEDIUM,-53.462200,39.733988
POLICE,HIGH,-37.851697,162.600081
POLICE,CRITICAL,-68.850777,109.895454
POLICE,HIGH,8.191578,163.580110
FIRE,LOW,84.196047,-38.217502
FIRE,MEDIUM,85.244623,67.591524
MEDICAL,CRITICAL,-59.255247,-25.066535
MEDICAL,MEDIUM,-85.793115,9.738225
FIRE,LOW,70.801023,-130.511378
POLICE,HIGH,45.620788,-46.369899
POLICE,LOW,13.236336,43.948257
MEDICAL,LOW,18.426141,105.129817
POLICE,LOW,29.353155,-29.401652
POLICE,MEDIUM,-32.502799,-87.963276
MEDICAL,CRITICAL,52.704135,-91.881737
FIRE,MEDIUM,73.080126,8.103620
MEDICAL,MEDIUM,20.606106,50.392773
MEDICAL,HIGH,-21.376598,94.071212
POLICE,LOW,23.176708,-35.798404
POLICE,CRITICAL,-67.150476,-13.468389
FIRE,MEDIUM,37.453796,-16.150260
POLICE,MEDIUM,-51.791177,-104.430819
MEDICAL,HIGH,67.436525,176.766213
POLICE,MEDIUM,-83.771220,-14.785394
MEDICAL,CRITICAL,-88.665964,161.342426
POLICE,CRITICAL,-4.297503,-35.555350
POLICE,HIGH,57.430059,-123.245466
MEDICAL,HIGH,-36.568051,-178.430919
POLICE,CRITICAL,50.128461,-167.076969
FIRE,HIGH,-51.878221,-167.103838
MEDICAL,CRITICAL,-50.969702,-91.897035
FIRE,MEDIUM,-47.397277,80.683034
FIRE,LOW,77.847404,34.730732
MEDICAL,MEDIUM,-72.778275,172.166904
FIRE,HIGH,79.913923,8.734667
POLICE,CRITICAL,5.685729,-167.352506
